time,high,low,close,open
2022-03-01 04:00:00+00:00:00,2931.71,2907.71,2926.44,2913.54
2022-03-01 05:00:00+00:00:00,2934.52,2908.98,2913.91,2926.44
2022-03-01 06:00:00+00:00:00,2923.07,2885.46,2917.51,2913.91
2022-03-01 07:00:00+00:00:00,2931.14,2914.71,2921.63,2917.51
2022-03-01 08:00:00+00:00:00,2930.91,2909.8,2925.69,2921.63
2022-03-01 09:00:00+00:00:00,2925.69,2889.87,2895.24,2925.69
2022-03-01 10:00:00+00:00:00,2919.68,2861.91,2918.14,2895.24
2022-03-01 11:00:00+00:00:00,2926.82,2891.69,2904.05,2918.14
2022-03-01 12:00:00+00:00:00,2950.75,2902.57,2949.86,2904.05
2022-03-01 13:00:00+00:00:00,3026.21,2947.73,3023.17,2949.86
2022-03-01 14:00:00+00:00:00,3035.04,2979.59,2981.33,3023.17
2022-03-01 15:00:00+00:00:00,2985.21,2941.83,2945.19,2981.33
2022-03-01 16:00:00+00:00:00,2963.15,2900.42,2907.68,2945.19
2022-03-01 17:00:00+00:00:00,2954.35,2905.57,2933.76,2907.68
2022-03-01 18:00:00+00:00:00,2957.89,2921.26,2954.66,2933.76
2022-03-01 19:00:00+00:00:00,2974.47,2945.46,2948.05,2954.66
2022-03-01 20:00:00+00:00:00,2976.5,2946.24,2974.09,2948.05
2022-03-01 21:00:00+00:00:00,2980.98,2941.62,2954.73,2974.09
2022-03-01 22:00:00+00:00:00,2976.05,2948.03,2974.79,2954.73
2022-03-01 23:00:00+00:00:00,2979.94,2952.93,2976.59,2974.79
2022-03-02 00:00:00+00:00:00,2978.09,2928.81,2940.55,2976.59
2022-03-02 01:00:00+00:00:00,2957.49,2916.52,2930.24,2940.55
2022-03-02 02:00:00+00:00:00,2946.51,2917.72,2944.64,2930.24
2022-03-02 03:00:00+00:00:00,3028.47,2940.29,3017.82,2944.64
2022-03-02 04:00:00+00:00:00,3035.58,2991.71,2998.76,3017.82
2022-03-02 05:00:00+00:00:00,3008.17,2979.99,3002.62,2998.76
2022-03-02 06:00:00+00:00:00,3003.68,2968.09,2968.72,3002.62
2022-03-02 07:00:00+00:00:00,2981.04,2958.92,2968.32,2968.72
2022-03-02 08:00:00+00:00:00,3008.06,2954.69,2978.53,2968.32
2022-03-02 09:00:00+00:00:00,3005.51,2974.1,2992.15,2978.53
2022-03-02 10:00:00+00:00:00,3025.94,2991.59,3010.75,2992.15
2022-03-02 11:00:00+00:00:00,3010.93,2991.41,3007.07,3010.75
2022-03-02 12:00:00+00:00:00,3027.76,2965.11,2987.41,3007.07
2022-03-02 13:00:00+00:00:00,2990.79,2930.67,2940.65,2987.41
2022-03-02 14:00:00+00:00:00,3026.34,2940.22,3011.71,2940.65
2022-03-02 15:00:00+00:00:00,3019.58,2953.74,2954.76,3011.71
2022-03-02 16:00:00+00:00:00,2981.87,2948.65,2968.26,2954.76
2022-03-02 17:00:00+00:00:00,2975.82,2947.41,2949.58,2968.26
2022-03-02 18:00:00+00:00:00,2965.19,2920.54,2925.89,2949.58
2022-03-02 19:00:00+00:00:00,2942.59,2917.14,2933.35,2925.89
2022-03-02 20:00:00+00:00:00,2952.03,2931.08,2950.42,2933.35
2022-03-02 21:00:00+00:00:00,2967.15,2942.04,2966.96,2950.42
2022-03-02 22:00:00+00:00:00,2985.8,2960.24,2962.86,2966.96
2022-03-02 23:00:00+00:00:00,2969.82,2947.55,2949.03,2962.86
2022-03-03 00:00:00+00:00:00,2971.29,2933.75,2966.93,2949.03
2022-03-03 01:00:00+00:00:00,2967.24,2940.45,2948.7,2966.93
2022-03-03 02:00:00+00:00:00,2948.7,2921.29,2933.38,2948.7
2022-03-03 03:00:00+00:00:00,2934.76,2891.24,2896.07,2933.38
2022-03-03 04:00:00+00:00:00,2910.94,2888.68,2902.07,2896.07
2022-03-03 05:00:00+00:00:00,2914.37,2896.14,2901.68,2902.07
2022-03-03 06:00:00+00:00:00,2915.8,2877.1,2915.76,2901.68
2022-03-03 07:00:00+00:00:00,2921.25,2901.71,2905.3,2915.76
2022-03-03 08:00:00+00:00:00,2918.01,2898.46,2905.57,2905.3
2022-03-03 09:00:00+00:00:00,2908.09,2882.71,2886.34,2905.57
2022-03-03 10:00:00+00:00:00,2912.43,2879.43,2909.43,2886.34
